Title,Type,Section,Source,Status,Priority,Description,Submitted by,Screenshot,Timestamp,John's Notes
News feed,💡 Idea,Tools,JM,Back Burner,Low,A list of relevant news stories from the week.,,,,
Develop a full tutorial mode the user can toggle on ,,About,JM,Back Burner,High,Button in the header?,,,,
Explore possibility of user customizing their layout,,,JM,Back Burner,Low,,,,,
"Add ""moved away"" tag",,,JM,Back Burner,,and figure out how you want it to work,,,,
Maybe: Cross-zone insights (opt-in),,,JM,Back Burner,,"If captains opt in to sharing, build:

Town Overview Dashboard:
Aggregated stats across all opt-in zones
Trend analysis (contact rates improving? damage distribution?)
Resource allocation insights
""Zones needing help"" (based on contact rates, completion %)

Captain-to-Captain insights:
""Other zones with similar challenges""
Best practices sharing (anonymized)
Cross-zone collaboration tools",,,,
Add Logo to Flyer Generator,,Tools,JM,Back Burner,Low,,,,,
Former Residents tab,💡 Idea,,JM,Back Burner,Low,"I've added an additional tab to the backend spreadsheet called ""Former Residents"". When a person is marked as ""Moved away"" they should be moved to this tab.",,,,
Refine the Send Newsletter action,,Actions,JM,Back Burner,High,Expand its features if possible. Maybe add a newsletter subscriber tag to make it easy to keep track of these people. Let's add some logic to make sure we're not emailing deceased people. ,,,,
Add Newsletter Builder,💡 Idea,Actions,JM,Back Burner,Low,"Take that week's newsletter, put a checkbox next to each section, and let users decide which pieces they want to include in their zone newsletter. ???	

PROMPT:


Newsletter builder
Spec out a web app for me that enables my volunteer neighborhood captains to create their own zone newsletters, drawing content from our Altogether town-wide newsletter, which comes out every two weeks. The format of our newsletter is built in something called Mailer Light, and it then just goes out as a big email to our list.

What I want is for neighborhood captains to be able to look at the newsletter, either check a box or click and drag the items that they want to add to their newsletter, and then add custom stuff if they want to:
- add a custom name for their newsletter
- add a little logo if they want to
- make the output something that's focused for their zone and small, and over which the neighborhood captain feels ownership


I want it to be low friction and easy for the neighborhood captain to do. I want them to feel empowered and excited to do this each week. It needs to be lightweight, slick, and have a really good-looking output that's then very easy for them to copy and paste into an email or generate or print out so that they can deliver it in person to places.

Spec out how this might work. It can be a standalone website/web app kind of thing, and then spec which I'll then link to from the zone dashboard. Also spec out: well, I don't know; tell me what you would need from me to make this happen. We need to think about what sorts of process changes might be needed from the newsletter editors to make this possible. We also need to consider that our newsletter editors are volunteers, and any solution here needs to be as easy as possible for them to do. Ok, in thinking about the editorial process for the newsletter, if it's possible, I don't know how we do this exactly, but maybe we can develop a web scraper feature that makes it easier for them to find news every week that people need. ",,,,
normalize column widths,,Neighbors,JM,Back Burner,Low,"Great job. We should make all the column widths smart like we did with Address, except for Residents. What do you think? any drawbacks of this approach?

DID NOT IMPLEMENT",,,,
